gps_accuracy_m,accel_norm,location_velocity_kmh,network_type,order_acceptance_latency_s,peer_claims_same_window,zone_claim_spike_ratio,device_subnet_overlap,claim_time_std_minutes,battery_drain_pct_per_hr,is_fraud
24.5686,12.651,34.9566,0,27.2969,6,1.6407,0,66.6881,15.0046,0
24.1859,11.1073,37.7822,1,53.3045,1,1.1194,2,106.0556,20.7292,0
2.4266,9.833,1.5009,1,2.616,27,9.1352,12,4.3707,38.2978,1
15.7326,12.2568,29.3627,1,29.0094,0,2.1613,0,117.7639,19.1332,0
17.1832,8.208,34.5844,1,38.8951,6,1.3835,1,40.2169,24.7633,0
16.8671,9.4971,20.931,1,74.7242,3,1.1571,0,104.0114,20.5423,0
19.9675,12.301,16.3432,1,89.6568,5,1.6089,2,34.4916,24.2156,0
13.512,8.3576,24.3325,1,85.2573,2,1.174,0,39.2689,20.0505,0
20.6582,10.6095,9.7598,0,31.4685,7,0.8724,1,102.9139,13.4401,0
10.3343,9.3333,27.4969,1,84.0089,7,1.0191,2,82.3033,20.0541,0
10.7496,8.0021,38.0284,1,22.0285,4,2.1072,1,65.7831,8.3665,0
20.8274,11.8421,9.4001,1,82.0429,7,1.5727,1,114.7759,22.0061,0
11.9567,9.9544,3.4318,1,78.3418,2,2.0814,2,59.064,22.0241,0
18.1555,13.1704,22.8813,1,24.7777,1,0.9388,0,42.9325,9.7767,0
17.3882,11.7823,19.2097,1,36.5922,0,2.2933,0,47.1512,20.6444,0
22.2108,12.5265,32.8925,1,29.7631,4,1.5748,2,118.6196,8.1276,0
16.8219,10.9965,0.9319,1,35.7244,3,1.4184,0,114.1805,17.1553,0
6.1348,10.4558,25.9443,1,35.5038,7,1.3256,0,90.6692,22.3816,0
16.3645,8.4654,9.1598,1,39.7258,3,1.0009,1,109.9938,23.5569,0
20.8813,8.8756,22.0135,1,85.5241,4,1.7522,1,29.8573,16.1516,0
6.6321,10.532,4.1614,1,13.4071,4,0.8948,2,62.3526,21.3957,0
5.9894,10.8043,9.2096,1,45.5598,2,1.9761,2,61.4509,10.1986,0
11.3169,12.6786,15.9725,1,22.1987,3,1.8935,0,80.1603,24.3801,0
8.2549,10.9277,17.0226,1,71.9161,0,1.3648,1,113.816,12.8056,0
17.3793,8.4491,5.9771,1,31.4514,3,2.3362,0,118.7846,24.2145,0
18.2536,10.1881,31.2722,1,9.5168,0,0.9883,2,61.9068,15.9489,0
3.9308,9.6683,1.5009,0,1.9075,22,7.3417,7,0.6739,36.8036,1
17.2366,13.1707,11.9253,0,15.8998,4,1.621,1,97.928,15.2903,0
19.7752,10.5623,13.6786,1,59.4632,0,1.3042,2,61.9651,18.4488,0
8.4126,13.4733,31.1665,1,22.3739,4,2.3692,0,71.3088,24.5826,0
10.6321,9.3914,31.718,1,22.3718,5,1.0525,0,21.125,10.7084,0
18.4632,8.7255,4.2544,1,34.9296,5,1.1693,0,53.687,11.6079,0
19.449,12.2833,28.9439,1,79.7743,1,1.179,0,106.1407,22.2444,0
10.1675,12.5627,12.8573,1,83.0712,1,1.6953,2,32.911,19.9276,0
8.3636,9.5628,27.0381,0,68.8524,1,2.3637,1,38.003,11.0851,0
7.2602,10.0009,6.101,1,8.7553,1,1.8166,2,64.999,12.3175,0
20.7658,9.2295,28.3645,1,10.8463,2,1.3089,0,117.2719,20.9497,0
9.711,11.4999,6.3602,0,39.8091,6,1.6058,1,93.1942,22.5472,0
15.1093,11.9954,39.3009,1,72.1181,3,1.6532,0,65.0675,15.9958,0
8.1812,10.2714,10.6285,1,72.5383,2,2.4891,2,87.7248,13.8144,0
17.7363,13.4066,32.5906,1,26.7769,7,0.8239,0,98.3581,19.9201,0
16.0008,10.5391,13.9634,1,40.6713,0,1.4537,1,97.2557,19.3984,0
5.5662,8.2245,25.7872,1,13.3318,3,1.3494,0,16.36,14.2915,0
2.1467,9.8358,1.5009,0,1.3746,15,8.4322,7,2.2186,37.8722,1
9.2898,10.5119,18.6992,0,68.2621,6,1.451,1,108.9899,10.881,0
17.957,11.5712,10.6743,1,88.355,4,2.386,0,32.8359,20.8029,0
23.3915,9.6355,12.2438,0,25.7861,2,1.7816,2,21.076,9.8529,0
10.2871,11.5867,32.3363,1,49.6924,3,1.3062,1,94.4711,19.5764,0
10.8736,9.519,30.6633,1,71.3826,0,1.2031,1,80.644,21.0262,0
8.8122,11.3925,36.9794,1,81.4752,0,2.0955,1,70.7719,9.0952,0
14.9189,12.5211,36.5181,1,32.2345,6,1.8779,0,103.9418,12.6271,0
20.4135,10.2614,30.8979,1,51.89,6,0.9614,2,34.6144,18.8752,0
15.0011,10.3249,1.3435,1,56.1639,4,1.8303,1,53.1931,8.4676,0
0.7798,9.7897,1.5009,0,0.7152,36,8.2025,17,3.9152,39.6648,1
2.2065,9.8642,1.5009,0,3.8263,37,11.5991,17,1.1928,57.1393,1
14.206,10.5722,1.1239,1,33.7776,0,2.4827,2,35.2034,14.1744,0
20.4586,12.5104,2.7847,1,34.7402,4,1.3467,2,35.4795,9.4916,0
24.2303,8.3668,37.3317,1,88.7796,1,1.6278,0,42.6029,16.7848,0
15.7189,8.3887,38.4322,1,54.5767,6,2.1221,0,119.6987,13.8708,0
1.3011,9.8971,1.5009,1,1.4738,47,7.2099,5,4.5786,64.4145,1
17.0392,12.1188,33.9316,1,80.4399,0,1.703,0,46.6977,10.1912,0
2.0585,9.6792,1.5009,0,0.8794,16,4.7063,15,4.9649,56.2307,1
18.8549,8.1179,1.5931,1,20.0312,1,0.9203,0,26.4221,18.974,0
23.9059,13.4481,15.7169,1,74.7594,2,1.4485,0,77.9704,18.8795,0
16.5254,8.9634,25.7959,1,78.5228,6,1.845,0,30.5553,19.3783,0
3.7601,9.6056,1.5009,0,3.6425,58,10.0759,14,4.6225,59.9711,1
10.6043,12.007,12.4848,1,48.722,5,0.9559,1,37.1525,12.1822,0
12.6869,9.5817,9.5986,1,14.3553,0,1.3045,0,108.4547,15.9379,0
20.5027,8.4958,9.2191,1,26.1589,0,1.7434,2,72.8253,24.4552,0
20.8617,8.4487,38.0735,0,73.6534,0,1.1666,0,72.6358,24.5656,0
13.2251,12.9537,35.6498,1,40.0746,3,1.7205,2,113.2593,21.7802,0
15.9697,8.343,39.1071,1,73.2354,5,1.0564,1,98.4809,23.2894,0
16.1027,11.5462,25.3844,1,28.5688,7,1.9969,1,25.0134,8.0308,0
7.3794,11.0054,14.1875,1,55.1977,1,2.013,1,117.3052,16.9312,0
20.2613,11.3303,0.1358,1,13.7806,4,1.6937,0,21.2747,17.2681,0
10.3891,9.0463,5.0308,1,11.2771,4,1.4547,0,112.3211,19.555,0
21.1189,12.9264,24.52,0,57.7358,5,1.4357,0,115.0087,16.3593,0
8.0084,11.2889,23.9482,1,52.2785,4,1.1882,2,78.0876,11.9615,0
19.8531,8.3739,28.5298,1,36.3441,1,1.6227,0,26.3459,12.8254,0
1.7701,9.7245,1.5009,1,3.0184,26,8.7704,6,0.9742,44.5157,1
17.4671,10.7641,28.2873,1,19.4451,1,1.3557,0,92.7796,18.6991,0
22.2135,9.6198,24.8613,1,66.2738,5,2.3867,0,55.7669,14.5485,0
23.1618,10.972,37.7778,1,24.1883,1,2.4226,1,89.3548,15.8325,0
20.2737,13.4427,21.2012,1,76.5486,5,1.3585,0,40.6485,15.8186,0
6.0738,12.2009,9.7056,1,75.0457,1,1.4685,0,85.4195,10.9943,0
1.0295,9.6261,1.5009,0,1.3673,39,7.9439,6,4.1701,38.5544,1
23.498,13.4213,31.1886,1,61.3948,5,1.2697,2,37.1019,20.6703,0
13.8062,11.3388,9.2072,0,79.21,2,1.7573,0,30.5156,16.1953,0
1.1925,9.7642,1.5009,0,3.8362,27,8.3378,12,3.2958,48.7094,1
11.3563,10.3645,30.1125,1,45.5233,0,1.9658,0,40.4435,17.2149,0
9.3022,12.8123,7.301,1,10.4104,5,0.9144,2,91.8908,10.6403,0
15.8363,10.4861,22.841,1,83.8401,4,0.8073,0,56.9931,17.9967,0
6.8083,11.5742,18.0719,1,15.5274,1,1.0924,1,49.0624,16.3692,0
5.1571,13.2109,10.8511,1,74.7416,1,0.9934,0,23.9575,15.9324,0
14.3738,12.0279,7.3676,1,10.5308,2,2.3956,1,60.4881,22.8482,0
6.6194,11.0797,24.7268,1,31.6288,6,1.528,2,44.5804,16.3307,0
5.3419,13.4332,8.8032,0,48.5181,6,2.2188,0,42.785,8.1178,0
12.9152,13.4737,16.6466,1,64.3825,1,2.2505,1,41.4012,12.5544,0
20.1345,12.3387,31.6879,1,44.606,3,2.4467,2,115.0217,18.1983,0
5.4696,10.1739,17.711,1,83.0882,6,1.4305,2,101.2715,18.4443,0
20.9958,9.5999,0.9201,0,55.7233,4,1.4086,0,46.4371,23.2386,0
20.3925,8.5693,22.3273,1,61.9393,2,1.308,0,57.1205,15.2183,0
11.3198,10.8983,23.9248,1,48.2817,2,0.9101,2,100.6583,18.1454,0
5.4678,11.8249,35.336,1,45.053,2,1.0917,0,62.7999,15.0905,0
7.9556,10.4487,5.9053,0,89.9636,2,2.3514,0,30.475,16.0639,0
17.6214,9.0685,16.9836,1,19.8162,3,2.4314,2,21.6304,10.341,0
5.4467,8.9989,10.3126,1,12.8048,4,0.825,2,96.3997,9.6508,0
7.1702,11.4139,17.1771,1,54.9059,4,2.4682,1,112.669,9.0295,0
13.4145,9.3796,13.3685,1,34.2846,7,1.2582,1,50.0075,16.2339,0
21.6392,13.1931,4.4306,1,14.0298,7,2.1658,1,116.465,8.2207,0
16.2983,8.9765,33.0595,1,29.3096,2,0.9715,2,61.1959,22.4028,0
8.1638,11.4269,8.4929,1,80.1034,0,0.9449,1,89.9393,10.694,0
6.009,10.6843,23.0472,0,50.9786,4,0.8069,2,63.294,18.0286,0
24.0765,12.761,14.4882,1,24.9126,3,2.4222,2,51.3808,24.8412,0
10.6865,13.3465,10.4359,0,40.7158,7,1.9007,1,53.3989,19.561,0
14.8855,9.279,11.116,1,48.7695,3,1.9072,2,103.9974,9.7191,0
15.4566,11.0323,26.265,1,64.4834,3,2.4219,2,34.4279,12.793,0
3.7427,9.7787,1.5009,0,1.3235,48,7.3184,7,2.22,49.2021,1
11.0029,9.5539,11.5371,0,50.2786,1,2.1424,1,35.8722,10.0678,0
19.3703,11.8065,29.6986,1,30.6059,0,1.8812,0,35.7434,21.8536,0
