zone,month,zone_disruption_freq,flood_risk,fog_risk,heat_risk,aqi_base,month_risk,weather_severity,aqi_level,traffic_disruption,worker_tenure_weeks,worker_claim_ratio,risk_score,weekly_premium_inr
Connaught Place,2,0.28,0.3,0.55,0.7,0.72,0.65,0.7563,0.4733,0.033,90,0.2123,0.5982,72.93
Karol Bagh,7,0.33,0.42,0.55,0.72,0.82,0.7,0.7075,0.4888,0.0629,21,0.1517,0.5413,70.65
Mayur Vihar,4,0.35,0.55,0.58,0.7,0.8,0.25,0.2718,0.2398,0.0851,8,0.0096,0.2124,57.5
Dwarka,6,0.38,0.6,0.65,0.7,0.78,0.8,0.554,0.5104,0.0565,92,0.1095,0.5482,70.93
Noida Sector 18,3,0.3,0.45,0.58,0.7,0.74,0.2,0.1081,0.4792,0.1131,22,0.0104,0.2267,58.07
Lajpat Nagar,5,0.32,0.45,0.5,0.68,0.75,0.75,0.5988,0.5491,0.0989,83,0.0602,0.5486,70.94
Mayur Vihar,5,0.35,0.55,0.58,0.7,0.8,0.75,0.757,0.3526,0.0029,7,0.1363,0.5203,69.81
Gurugram Sector 29,5,0.28,0.5,0.55,0.68,0.72,0.75,0.6224,0.5225,0.0075,63,0.0205,0.5522,71.09
Saket,9,0.25,0.35,0.5,0.65,0.7,0.6,0.7597,0.6285,0.0756,52,0.1661,0.5625,71.5
Connaught Place,8,0.28,0.3,0.55,0.7,0.72,0.75,0.4564,0.4113,0.0045,91,0.0899,0.4047,65.19
Vasant Kunj,6,0.22,0.3,0.48,0.65,0.68,0.8,0.7757,0.2656,0.1647,19,0.3045,0.5324,70.3
Janakpuri,2,0.3,0.4,0.6,0.68,0.76,0.65,0.4142,0.2278,0.0901,9,0.0594,0.3839,64.35
Karol Bagh,7,0.33,0.42,0.55,0.72,0.82,0.7,0.4198,0.6115,0.0379,81,0.2232,0.5197,69.79
Gurugram Sector 29,3,0.28,0.5,0.55,0.68,0.72,0.2,0.1901,0.1488,0.097,40,0.3092,0.2069,57.27
Mayur Vihar,4,0.35,0.55,0.58,0.7,0.8,0.25,0.1488,0.7266,0.0078,86,0.2119,0.3791,64.17
Mayur Vihar,5,0.35,0.55,0.58,0.7,0.8,0.75,0.8027,0.5424,0.0358,30,0.4002,0.7199,77.8
Rohini,2,0.35,0.5,0.7,0.72,0.8,0.65,0.2789,0.7096,0.1731,52,0.2394,0.5636,71.54
Saket,5,0.25,0.35,0.5,0.65,0.7,0.75,0.2918,0.5647,0.0104,57,0.3897,0.5467,70.87
Janakpuri,4,0.3,0.4,0.6,0.68,0.76,0.25,0.4834,0.6353,0.0394,49,0.1838,0.4693,67.77
Janakpuri,11,0.3,0.4,0.6,0.68,0.76,0.8,0.6827,0.6662,0.1663,65,0.0841,0.582,72.28
Connaught Place,11,0.28,0.3,0.55,0.7,0.72,0.8,0.3113,0.6493,0.2109,56,0.2091,0.5427,70.71
Shahdara,1,0.4,0.65,0.6,0.72,0.85,0.7,0.6181,0.6629,0.1131,45,0.148,0.6019,73.08
Lajpat Nagar,8,0.32,0.45,0.5,0.68,0.75,0.75,0.4202,0.452,0.076,25,0.0235,0.4041,65.16
Gurugram Sector 29,8,0.28,0.5,0.55,0.68,0.72,0.75,0.6881,0.4408,0.1008,18,0.2175,0.5697,71.79
Gurugram Sector 29,5,0.28,0.5,0.55,0.68,0.72,0.75,0.3845,0.2182,0.0914,73,0.1094,0.4116,65.46
Vasant Kunj,6,0.22,0.3,0.48,0.65,0.68,0.8,0.3203,0.3653,0.0923,95,0.0821,0.4551,67.2
Gurugram Sector 29,10,0.28,0.5,0.55,0.68,0.72,0.65,0.3303,0.3391,0.1096,71,0.3433,0.4592,67.37
Saket,5,0.25,0.35,0.5,0.65,0.7,0.75,0.8005,0.1719,0.1374,16,0.3464,0.5795,72.18
Vasant Kunj,1,0.22,0.3,0.48,0.65,0.68,0.7,0.2283,0.5512,0.1009,15,0.2985,0.4713,67.85
Saket,5,0.25,0.35,0.5,0.65,0.7,0.75,0.6992,0.4516,0.0359,43,0.2954,0.567,71.68
Dwarka,4,0.38,0.6,0.65,0.7,0.78,0.25,0.2329,0.5209,0.0659,32,0.1678,0.3517,63.07
Karol Bagh,5,0.33,0.42,0.55,0.72,0.82,0.75,0.3837,0.5807,0.0619,23,0.4366,0.5681,71.72
Saket,3,0.25,0.35,0.5,0.65,0.7,0.2,0.4236,0.5544,0.0476,50,0.2124,0.3891,64.56
Connaught Place,2,0.28,0.3,0.55,0.7,0.72,0.65,0.2949,0.4618,0.0304,52,0.1515,0.4254,66.02
Janakpuri,12,0.3,0.4,0.6,0.68,0.76,0.75,0.6628,0.4368,0.196,95,0.1997,0.6741,75.96
Mayur Vihar,2,0.35,0.55,0.58,0.7,0.8,0.65,0.7987,0.6047,0.0486,82,0.0587,0.6679,75.71
Rohini,9,0.35,0.5,0.7,0.72,0.8,0.6,0.5564,0.3795,0.1094,17,0.0509,0.5263,70.05
Janakpuri,9,0.3,0.4,0.6,0.68,0.76,0.6,0.7767,0.6547,0.1069,61,0.2705,0.6439,74.75
Lajpat Nagar,8,0.32,0.45,0.5,0.68,0.75,0.75,0.2725,0.3548,0.0742,8,0.2383,0.4017,65.07
Gurugram Sector 29,11,0.28,0.5,0.55,0.68,0.72,0.8,0.2385,0.4893,0.0131,104,0.1192,0.4427,66.71
Janakpuri,1,0.3,0.4,0.6,0.68,0.76,0.7,0.6363,0.6048,0.2042,14,0.3897,0.6375,74.5
Dwarka,4,0.38,0.6,0.65,0.7,0.78,0.25,0.4164,0.5177,0.0321,99,0.0557,0.4073,65.29
Rohini,3,0.35,0.5,0.7,0.72,0.8,0.2,0.4437,0.4414,0.1247,25,0.1178,0.2892,60.57
Shahdara,7,0.4,0.65,0.6,0.72,0.85,0.7,0.8292,0.6296,0.2639,104,0.1126,0.7038,77.15
Gurugram Sector 29,8,0.28,0.5,0.55,0.68,0.72,0.75,0.6086,0.4817,0.0752,64,0.1671,0.5802,72.21
Vasant Kunj,11,0.22,0.3,0.48,0.65,0.68,0.8,0.6818,0.8194,0.0508,58,0.4212,0.6443,74.77
Janakpuri,5,0.3,0.4,0.6,0.68,0.76,0.75,0.2396,0.3856,0.1034,4,0.12,0.3634,63.53
Lajpat Nagar,3,0.32,0.45,0.5,0.68,0.75,0.2,0.143,0.3932,0.0581,76,0.3039,0.2427,58.71
Mayur Vihar,12,0.35,0.55,0.58,0.7,0.8,0.75,0.2563,0.7326,0.1255,4,0.14,0.6346,74.38
Noida Sector 18,9,0.3,0.45,0.58,0.7,0.74,0.6,0.4778,0.3562,0.0874,55,0.7037,0.5431,70.72
Gurugram Sector 29,10,0.28,0.5,0.55,0.68,0.72,0.65,0.4396,0.7431,0.1101,93,0.0422,0.5393,70.57
Lajpat Nagar,6,0.32,0.45,0.5,0.68,0.75,0.8,0.3036,0.3955,0.2588,79,0.0172,0.4423,66.69
Dwarka,6,0.38,0.6,0.65,0.7,0.78,0.8,0.662,0.4443,0.0348,13,0.3103,0.5905,72.62
Mayur Vihar,5,0.35,0.55,0.58,0.7,0.8,0.75,0.4575,0.6598,0.0707,18,0.0646,0.574,71.96
Mayur Vihar,9,0.35,0.55,0.58,0.7,0.8,0.6,0.462,0.471,0.1529,35,0.2166,0.5334,70.34
Janakpuri,3,0.3,0.4,0.6,0.68,0.76,0.2,0.3285,0.6654,0.163,76,0.1658,0.331,62.24
Mayur Vihar,12,0.35,0.55,0.58,0.7,0.8,0.75,0.5593,0.7619,0.3154,38,0.1356,0.7006,77.02
Karol Bagh,3,0.33,0.42,0.55,0.72,0.82,0.2,0.2615,0.5197,0.0562,63,0.1295,0.342,62.68
Saket,6,0.25,0.35,0.5,0.65,0.7,0.8,0.2327,0.6884,0.0843,83,0.1097,0.4964,68.86
Karol Bagh,4,0.33,0.42,0.55,0.72,0.82,0.25,0.1078,0.7581,0.0742,73,0.5588,0.3955,64.82
Dwarka,8,0.38,0.6,0.65,0.7,0.78,0.75,0.2007,0.1349,0.0845,95,0.1263,0.348,62.92
Rohini,9,0.35,0.5,0.7,0.72,0.8,0.6,0.2934,0.4902,0.1617,91,0.037,0.3729,63.92
Gurugram Sector 29,12,0.28,0.5,0.55,0.68,0.72,0.75,0.7683,0.8004,0.1141,81,0.263,0.7965,80.86
Noida Sector 18,10,0.3,0.45,0.58,0.7,0.74,0.65,0.2897,0.2896,0.0487,26,0.0189,0.3666,63.66
Lajpat Nagar,3,0.32,0.45,0.5,0.68,0.75,0.2,0.2213,0.2231,0.0951,53,0.2399,0.1981,56.92
Mayur Vihar,3,0.35,0.55,0.58,0.7,0.8,0.2,0.3084,0.3023,0.1886,84,0.0627,0.2354,58.42
Rohini,11,0.35,0.5,0.7,0.72,0.8,0.8,0.4151,0.4408,0.0337,57,0.3019,0.4668,67.67
Mayur Vihar,6,0.35,0.55,0.58,0.7,0.8,0.8,0.4121,0.5137,0.1492,87,0.168,0.5267,70.07
Connaught Place,2,0.28,0.3,0.55,0.7,0.72,0.65,0.5573,0.5656,0.0428,46,0.0367,0.5333,70.33
Mayur Vihar,10,0.35,0.55,0.58,0.7,0.8,0.65,0.4415,0.8154,0.1855,97,0.072,0.6312,74.25
Mayur Vihar,8,0.35,0.55,0.58,0.7,0.8,0.75,0.6639,0.4982,0.1148,102,0.2108,0.5528,71.11
Mayur Vihar,1,0.35,0.55,0.58,0.7,0.8,0.7,0.4188,0.3239,0.0406,33,0.1095,0.4295,66.18
Noida Sector 18,10,0.3,0.45,0.58,0.7,0.74,0.65,0.4185,0.7847,0.197,100,0.2189,0.6057,73.23
Janakpuri,8,0.3,0.4,0.6,0.68,0.76,0.75,0.4125,0.4543,0.0829,43,0.2445,0.4777,68.11
Gurugram Sector 29,8,0.28,0.5,0.55,0.68,0.72,0.75,0.3253,0.4909,0.1359,80,0.0192,0.3883,64.53
Dwarka,11,0.38,0.6,0.65,0.7,0.78,0.8,0.0854,0.8697,0.1107,68,0.0156,0.4771,68.08
Mayur Vihar,6,0.35,0.55,0.58,0.7,0.8,0.8,0.3307,0.3411,0.0715,92,0.0406,0.4499,67.0
Shahdara,6,0.4,0.65,0.6,0.72,0.85,0.8,0.7086,0.3872,0.2437,94,0.4282,0.6389,74.56
Janakpuri,8,0.3,0.4,0.6,0.68,0.76,0.75,0.2295,0.4651,0.1382,58,0.6188,0.5125,69.5
Shahdara,3,0.4,0.65,0.6,0.72,0.85,0.2,0.2993,0.4723,0.0882,14,0.0007,0.3399,62.6
Shahdara,2,0.4,0.65,0.6,0.72,0.85,0.65,0.466,0.6859,0.0741,59,0.0154,0.5065,69.26
Connaught Place,11,0.28,0.3,0.55,0.7,0.72,0.8,0.7095,0.5006,0.0656,65,0.1897,0.5403,70.61
Lajpat Nagar,3,0.32,0.45,0.5,0.68,0.75,0.2,0.1888,0.3044,0.1346,78,0.3271,0.2562,59.25
Rohini,7,0.35,0.5,0.7,0.72,0.8,0.7,0.3577,0.4785,0.2382,73,0.139,0.4704,67.82
Lajpat Nagar,4,0.32,0.45,0.5,0.68,0.75,0.25,0.1329,0.4369,0.157,37,0.439,0.3204,61.82
Janakpuri,3,0.3,0.4,0.6,0.68,0.76,0.2,0.2829,0.4426,0.1188,87,0.049,0.3143,61.57
Gurugram Sector 29,8,0.28,0.5,0.55,0.68,0.72,0.75,0.5574,0.4035,0.0231,69,0.1012,0.4663,67.65
Noida Sector 18,10,0.3,0.45,0.58,0.7,0.74,0.65,0.3536,0.7457,0.1026,78,0.2378,0.5928,72.71
Janakpuri,6,0.3,0.4,0.6,0.68,0.76,0.8,0.5926,0.4514,0.2026,44,0.0896,0.5697,71.79
Karol Bagh,2,0.33,0.42,0.55,0.72,0.82,0.65,0.6236,0.5571,0.0895,35,0.2753,0.6121,73.48
Shahdara,3,0.4,0.65,0.6,0.72,0.85,0.2,0.2256,0.5206,0.1225,96,0.1048,0.376,64.04
Connaught Place,2,0.28,0.3,0.55,0.7,0.72,0.65,0.5025,0.2613,0.2061,71,0.1317,0.416,65.64
Mayur Vihar,11,0.35,0.55,0.58,0.7,0.8,0.8,0.5547,0.9141,0.0561,38,0.1073,0.6075,73.3
Shahdara,4,0.4,0.65,0.6,0.72,0.85,0.25,0.3149,0.4099,0.1121,39,0.0476,0.2683,59.73
Noida Sector 18,5,0.3,0.45,0.58,0.7,0.74,0.75,0.9045,0.4958,0.0359,67,0.1132,0.6485,74.94
Shahdara,1,0.4,0.65,0.6,0.72,0.85,0.7,0.8084,0.7227,0.0068,49,0.2013,0.688,76.52
Shahdara,6,0.4,0.65,0.6,0.72,0.85,0.8,0.5908,0.5079,0.1639,3,0.16,0.5637,71.55
Lajpat Nagar,11,0.32,0.45,0.5,0.68,0.75,0.8,0.1358,0.8028,0.1215,10,0.1003,0.5024,69.1
Shahdara,5,0.4,0.65,0.6,0.72,0.85,0.75,0.6314,0.4997,0.3217,61,0.2027,0.5999,72.99
Mayur Vihar,8,0.35,0.55,0.58,0.7,0.8,0.75,0.6665,0.5414,0.1087,18,0.21,0.5723,71.89
Dwarka,3,0.38,0.6,0.65,0.7,0.78,0.2,0.1224,0.3132,0.1377,81,0.2494,0.2209,57.84
Noida Sector 18,2,0.3,0.45,0.58,0.7,0.74,0.65,0.6433,0.0917,0.127,36,0.1736,0.4612,67.45
Connaught Place,9,0.28,0.3,0.55,0.7,0.72,0.6,0.3704,0.0483,0.1616,87,0.2665,0.2667,59.67
Saket,1,0.25,0.35,0.5,0.65,0.7,0.7,0.5121,0.4336,0.0162,82,0.2076,0.4355,66.42
Janakpuri,6,0.3,0.4,0.6,0.68,0.76,0.8,0.5053,0.3696,0.0798,92,0.1105,0.5153,69.61
Vasant Kunj,4,0.22,0.3,0.48,0.65,0.68,0.25,0.1903,0.2182,0.0291,65,0.3599,0.2612,59.45
Rohini,1,0.35,0.5,0.7,0.72,0.8,0.7,0.4741,0.5915,0.0213,53,0.1604,0.6058,73.23
Dwarka,7,0.38,0.6,0.65,0.7,0.78,0.7,0.5235,0.6633,0.0898,71,0.1588,0.6387,74.55
Saket,12,0.25,0.35,0.5,0.65,0.7,0.75,0.6878,0.7943,0.0589,62,0.6442,0.8465,82.86
Vasant Kunj,1,0.22,0.3,0.48,0.65,0.68,0.7,0.7568,0.3352,0.1024,96,0.0975,0.4946,68.79
Karol Bagh,10,0.33,0.42,0.55,0.72,0.82,0.65,0.5491,0.5027,0.1987,34,0.5177,0.6161,73.64
Connaught Place,7,0.28,0.3,0.55,0.7,0.72,0.7,0.4314,0.4131,0.1643,11,0.0662,0.4301,66.2
Rohini,9,0.35,0.5,0.7,0.72,0.8,0.6,0.2553,0.611,0.2099,100,0.1216,0.4532,67.13
Mayur Vihar,2,0.35,0.55,0.58,0.7,0.8,0.65,0.4557,0.6887,0.189,87,0.1427,0.5498,70.99
Connaught Place,11,0.28,0.3,0.55,0.7,0.72,0.8,0.2269,0.6668,0.105,66,0.0822,0.4162,65.65
Karol Bagh,1,0.33,0.42,0.55,0.72,0.82,0.7,0.5973,0.4857,0.0933,16,0.2066,0.5488,70.95
Dwarka,11,0.38,0.6,0.65,0.7,0.78,0.8,0.1302,0.5516,0.2085,27,0.0896,0.436,66.44
Vasant Kunj,8,0.22,0.3,0.48,0.65,0.68,0.75,0.4103,0.5645,0.0403,34,0.136,0.4531,67.13
Dwarka,5,0.38,0.6,0.65,0.7,0.78,0.75,0.3776,0.5261,0.052,93,0.2402,0.505,69.2
Janakpuri,1,0.3,0.4,0.6,0.68,0.76,0.7,0.6512,0.5063,0.004,38,0.6292,0.6868,76.47
Noida Sector 18,8,0.3,0.45,0.58,0.7,0.74,0.75,0.7853,0.4714,0.1008,67,0.0281,0.5363,70.45
Lajpat Nagar,2,0.32,0.45,0.5,0.68,0.75,0.65,0.519,0.2178,0.1803,98,0.0627,0.3897,64.59
Shahdara,8,0.4,0.65,0.6,0.72,0.85,0.75,0.4166,0.6503,0.1745,72,0.0611,0.604,73.16
Shahdara,10,0.4,0.65,0.6,0.72,0.85,0.65,0.6469,0.7995,0.1964,59,0.2641,0.6961,76.85
Mayur Vihar,4,0.35,0.55,0.58,0.7,0.8,0.25,0.2862,0.7036,0.2117,14,0.1432,0.3888,64.55
Vasant Kunj,3,0.22,0.3,0.48,0.65,0.68,0.2,0.1549,0.5435,0.0973,28,0.2666,0.3823,64.29
Noida Sector 18,3,0.3,0.45,0.58,0.7,0.74,0.2,0.1387,0.0416,0.0465,3,0.12,0.1478,54.91
Saket,3,0.25,0.35,0.5,0.65,0.7,0.2,0.2057,0.6378,0.1597,17,0.2028,0.3448,62.79
Saket,2,0.25,0.35,0.5,0.65,0.7,0.65,0.6055,0.5856,0.1708,62,0.3267,0.5652,71.61
Janakpuri,3,0.3,0.4,0.6,0.68,0.76,0.2,0.2325,0.5628,0.1785,71,0.0627,0.2997,60.99
Mayur Vihar,8,0.35,0.55,0.58,0.7,0.8,0.75,0.3085,0.4797,0.1677,18,0.5345,0.5528,71.11
Dwarka,4,0.38,0.6,0.65,0.7,0.78,0.25,0.2305,0.6181,0.1328,35,0.0391,0.3152,61.61
Rohini,10,0.35,0.5,0.7,0.72,0.8,0.65,0.6283,0.7712,0.2081,72,0.3248,0.6504,75.02
Saket,10,0.25,0.35,0.5,0.65,0.7,0.65,0.5519,0.5678,0.0334,8,0.1508,0.509,69.36
Connaught Place,10,0.28,0.3,0.55,0.7,0.72,0.65,0.3895,0.8772,0.0998,63,0.2977,0.6245,73.98
Lajpat Nagar,7,0.32,0.45,0.5,0.68,0.75,0.7,0.5488,0.6384,0.0492,49,0.142,0.5916,72.67
Lajpat Nagar,4,0.32,0.45,0.5,0.68,0.75,0.25,0.3823,0.3775,0.138,34,0.1288,0.2647,59.59
Mayur Vihar,12,0.35,0.55,0.58,0.7,0.8,0.75,0.4687,0.7215,0.2687,49,0.2513,0.7221,77.88
Gurugram Sector 29,3,0.28,0.5,0.55,0.68,0.72,0.2,0.267,0.1456,0.1011,46,0.1407,0.2028,57.11
Gurugram Sector 29,6,0.28,0.5,0.55,0.68,0.72,0.8,0.6076,0.367,0.1661,92,0.0391,0.5688,71.75
Janakpuri,6,0.3,0.4,0.6,0.68,0.76,0.8,0.8012,0.3551,0.1093,87,0.0377,0.543,70.72
Gurugram Sector 29,9,0.28,0.5,0.55,0.68,0.72,0.6,0.7464,0.5105,0.0933,98,0.2653,0.5771,72.08
Lajpat Nagar,7,0.32,0.45,0.5,0.68,0.75,0.7,0.1477,0.4268,0.1411,71,0.1701,0.406,65.24
Karol Bagh,10,0.33,0.42,0.55,0.72,0.82,0.65,0.2615,0.7091,0.2056,50,0.2435,0.5511,71.04
Shahdara,12,0.4,0.65,0.6,0.72,0.85,0.75,0.3778,0.8324,0.0895,33,0.0803,0.6999,77.0
Vasant Kunj,5,0.22,0.3,0.48,0.65,0.68,0.75,0.7303,0.6593,0.1278,61,0.0696,0.6182,73.73
Lajpat Nagar,11,0.32,0.45,0.5,0.68,0.75,0.8,0.5912,0.5655,0.0466,53,0.142,0.5859,72.43
Janakpuri,3,0.3,0.4,0.6,0.68,0.76,0.2,0.2803,0.4511,0.0925,90,0.2037,0.359,63.36
Gurugram Sector 29,11,0.28,0.5,0.55,0.68,0.72,0.8,0.5735,0.6909,0.1276,48,0.1341,0.5868,72.47
Janakpuri,3,0.3,0.4,0.6,0.68,0.76,0.2,0.3231,0.5648,0.0138,72,0.3573,0.3785,64.14
Janakpuri,11,0.3,0.4,0.6,0.68,0.76,0.8,0.6469,0.6625,0.2207,6,0.1813,0.5646,71.58
Lajpat Nagar,5,0.32,0.45,0.5,0.68,0.75,0.75,0.6998,0.4514,0.1337,46,0.1762,0.561,71.44
Saket,12,0.25,0.35,0.5,0.65,0.7,0.75,0.8001,0.7222,0.0108,38,0.0894,0.7589,79.35
Rohini,2,0.35,0.5,0.7,0.72,0.8,0.65,0.6878,0.1899,0.1476,67,0.2671,0.5434,70.74
Dwarka,6,0.38,0.6,0.65,0.7,0.78,0.8,0.6783,0.4619,0.2013,13,0.3608,0.5756,72.02
Gurugram Sector 29,11,0.28,0.5,0.55,0.68,0.72,0.8,0.5097,0.4302,0.0216,15,0.1465,0.4164,65.66
Noida Sector 18,1,0.3,0.45,0.58,0.7,0.74,0.7,0.5525,0.5472,0.2677,18,0.1412,0.4569,67.28
Noida Sector 18,4,0.3,0.45,0.58,0.7,0.74,0.25,0.2783,0.3434,0.051,59,0.1635,0.2931,60.73
Saket,2,0.25,0.35,0.5,0.65,0.7,0.65,0.5303,0.2838,0.0781,36,0.172,0.418,65.72
Vasant Kunj,4,0.22,0.3,0.48,0.65,0.68,0.25,0.4328,0.431,0.0562,9,0.1023,0.3127,61.51
Lajpat Nagar,5,0.32,0.45,0.5,0.68,0.75,0.75,0.6587,0.2748,0.0616,104,0.0739,0.4933,68.73
Saket,8,0.25,0.35,0.5,0.65,0.7,0.75,0.3736,0.2765,0.0195,66,0.2464,0.3689,63.76
Lajpat Nagar,4,0.32,0.45,0.5,0.68,0.75,0.25,0.0265,0.1337,0.0024,62,0.3725,0.17,55.8
Saket,2,0.25,0.35,0.5,0.65,0.7,0.65,0.445,0.4684,0.0408,68,0.2707,0.521,69.84
Vasant Kunj,3,0.22,0.3,0.48,0.65,0.68,0.2,0.3758,0.5699,0.1129,33,0.2698,0.4061,65.24
Saket,12,0.25,0.35,0.5,0.65,0.7,0.75,0.7755,0.8815,0.1569,4,0.1,0.8003,81.01
Karol Bagh,12,0.33,0.42,0.55,0.72,0.82,0.75,0.5304,0.5251,0.0165,18,0.0919,0.6805,76.22
Janakpuri,3,0.3,0.4,0.6,0.68,0.76,0.2,0.1288,0.5795,0.0072,85,0.339,0.3736,63.95
Gurugram Sector 29,3,0.28,0.5,0.55,0.68,0.72,0.2,0.2084,0.3192,0.0057,40,0.2876,0.2417,58.67
Janakpuri,1,0.3,0.4,0.6,0.68,0.76,0.7,0.7113,0.1966,0.0623,102,0.2343,0.5168,69.67
Dwarka,12,0.38,0.6,0.65,0.7,0.78,0.75,0.5168,0.6942,0.1567,29,0.228,0.677,76.08
Mayur Vihar,9,0.35,0.55,0.58,0.7,0.8,0.6,0.5406,0.706,0.0426,49,0.3557,0.6294,74.18
Vasant Kunj,10,0.22,0.3,0.48,0.65,0.68,0.65,0.3279,0.4089,0.1049,91,0.1946,0.4353,66.41
Dwarka,4,0.38,0.6,0.65,0.7,0.78,0.25,0.1512,0.4425,0.1419,76,0.0872,0.2529,59.12
Mayur Vihar,8,0.35,0.55,0.58,0.7,0.8,0.75,0.6438,0.3926,0.063,55,0.1827,0.5683,71.73
Dwarka,1,0.38,0.6,0.65,0.7,0.78,0.7,0.4343,0.5292,0.2305,61,0.2174,0.5876,72.51
Gurugram Sector 29,9,0.28,0.5,0.55,0.68,0.72,0.6,0.1099,0.6078,0.1552,98,0.1872,0.4318,66.27
Mayur Vihar,7,0.35,0.55,0.58,0.7,0.8,0.7,0.3318,0.4967,0.0648,52,0.0686,0.4618,67.47
Janakpuri,4,0.3,0.4,0.6,0.68,0.76,0.25,0.22,0.5007,0.1681,34,0.2528,0.3183,61.73
