trigger_type,severity,weekly_income,income_norm,claim_amount
extreme_heat,0.3278,2846.72,0.0998,98.67
heavy_rain,0.2652,3546.32,0.1516,163.93
traffic,0.6419,3867.88,0.1754,154.21
heavy_rain,0.6186,6143.24,0.3439,422.24
traffic,0.4584,4978.72,0.2577,176.28
traffic,0.2335,2530.26,0.0763,68.83
traffic,0.3744,5971.61,0.3312,211.39
heavy_rain,0.7657,1738.45,0.0177,120.63
aqi,0.3869,3428.19,0.1428,80.44
heavy_rain,0.6069,2273.27,0.0573,137.94
heavy_rain,0.4259,2621.36,0.0831,143.77
extreme_heat,0.2322,10543.8,0.6699,410.69
extreme_heat,0.4176,1928.82,0.0318,72.62
traffic,0.2404,2671.52,0.0868,70.0
traffic,0.4354,5193.7,0.2736,176.36
heavy_rain,0.6324,3181.15,0.1245,209.08
aqi,0.6617,4349.34,0.2111,153.23
heavy_rain,0.6733,8223.69,0.4981,500.0
extreme_heat,0.1736,5582.06,0.3024,166.5
heavy_rain,0.3313,3183.25,0.1247,145.08
aqi,0.0898,3763.63,0.1677,67.9
heavy_rain,0.7384,5246.43,0.2775,390.84
heavy_rain,0.3324,5527.52,0.2983,284.02
extreme_heat,0.5028,4065.84,0.1901,177.68
aqi,0.4503,4818.92,0.2458,137.49
aqi,0.5771,4821.26,0.246,158.0
traffic,0.4097,3842.53,0.1735,127.99
aqi,0.653,2973.16,0.1091,96.31
aqi,0.5258,5833.06,0.321,186.81
extreme_heat,0.3852,4655.93,0.2338,185.21
heavy_rain,0.2448,1500.0,0.0,58.53
traffic,0.4729,2662.66,0.0861,87.91
traffic,0.7382,3164.23,0.1233,148.05
extreme_heat,0.3323,3638.89,0.1584,128.53
heavy_rain,0.5479,7346.45,0.4331,500.0
traffic,0.1028,15000.0,1.0,448.69
heavy_rain,0.5144,1500.0,0.0,85.2
aqi,0.3036,4685.38,0.236,121.17
heavy_rain,0.9052,4166.34,0.1975,341.39
heavy_rain,0.1324,3676.64,0.1612,130.67
traffic,0.7323,5278.88,0.2799,245.05
heavy_rain,0.1085,4336.81,0.2101,155.44
heavy_rain,0.6206,3358.61,0.1377,216.15
extreme_heat,0.6116,4083.14,0.1913,198.71
aqi,0.479,5314.97,0.2826,156.27
heavy_rain,0.5714,5068.17,0.2643,337.63
heavy_rain,0.1378,4421.86,0.2164,165.68
traffic,0.4667,3005.73,0.1115,99.16
aqi,0.1313,15000.0,1.0,382.92
extreme_heat,0.3277,4816.28,0.2457,183.28
heavy_rain,0.3346,5891.3,0.3253,311.96
heavy_rain,0.6687,3121.59,0.1201,215.9
heavy_rain,0.3418,4423.94,0.2166,221.86
heavy_rain,0.1697,4406.36,0.2153,172.89
traffic,0.3823,1546.93,0.0035,50.0
heavy_rain,0.8536,2812.05,0.0972,208.18
extreme_heat,0.3279,2786.18,0.0953,97.71
traffic,0.5257,2980.28,0.1097,101.57
extreme_heat,0.8657,2356.85,0.0635,124.91
heavy_rain,0.9616,4113.08,0.1936,351.99
traffic,0.7652,8092.39,0.4883,428.49
traffic,0.8984,4295.16,0.207,219.71
traffic,0.53,2229.13,0.054,83.08
heavy_rain,0.9073,2403.18,0.0669,189.49
heavy_rain,0.2852,3332.49,0.1357,154.77
aqi,0.8214,1982.66,0.0358,81.98
extreme_heat,0.2728,4685.5,0.236,174.99
heavy_rain,0.8758,7915.27,0.4752,500.0
extreme_heat,0.5303,3017.09,0.1124,129.03
traffic,0.2902,4180.0,0.1985,121.34
aqi,0.1744,3247.11,0.1294,70.04
heavy_rain,0.3132,2937.12,0.1065,129.7
aqi,0.7049,4423.95,0.2166,164.78
heavy_rain,0.3935,2888.08,0.1028,143.86
extreme_heat,0.1993,2685.98,0.0879,79.57
traffic,0.6283,1790.69,0.0215,64.04
heavy_rain,0.8865,4155.94,0.1967,330.93
heavy_rain,0.2917,6860.29,0.3971,345.77
extreme_heat,0.6468,5731.05,0.3134,310.61
aqi,0.1592,8484.5,0.5174,184.22
extreme_heat,0.4673,2871.94,0.1016,124.83
aqi,0.4706,6157.37,0.345,184.0
traffic,0.3957,2318.52,0.0606,65.98
extreme_heat,0.0644,5736.64,0.3138,151.09
traffic,0.6667,9155.35,0.5671,460.38
heavy_rain,0.5723,5162.57,0.2713,336.25
heavy_rain,0.6616,9236.38,0.5731,500.0
traffic,0.3822,2982.85,0.1098,100.55
traffic,0.5701,3762.67,0.1676,145.93
heavy_rain,0.4297,2545.69,0.0775,128.77
extreme_heat,0.7684,4094.48,0.1922,222.04
traffic,0.4447,4604.72,0.23,168.05
aqi,0.8512,4076.6,0.1909,158.78
traffic,0.5315,3174.58,0.124,114.28
extreme_heat,0.3616,3148.38,0.1221,120.38
extreme_heat,0.4999,4781.86,0.2431,224.78
extreme_heat,0.3129,3715.83,0.1641,132.0
traffic,0.522,2262.21,0.0565,78.56
aqi,0.3562,1558.31,0.0043,50.0
extreme_heat,0.4127,2987.69,0.1102,112.81
heavy_rain,0.6369,2015.99,0.0382,122.79
heavy_rain,0.5244,2649.74,0.0852,149.17
traffic,0.5419,3256.3,0.1301,125.0
traffic,0.7429,3740.41,0.166,167.38
heavy_rain,0.3678,2884.18,0.1025,147.13
heavy_rain,0.5079,12035.32,0.7804,500.0
extreme_heat,0.4289,2141.9,0.0475,79.64
heavy_rain,0.1436,7365.82,0.4345,314.16
traffic,0.2499,3709.74,0.1637,100.43
heavy_rain,0.5105,2896.44,0.1034,163.55
heavy_rain,0.7994,5398.02,0.2887,428.27
aqi,0.2297,3208.51,0.1266,73.72
heavy_rain,0.0826,2687.91,0.088,88.73
heavy_rain,0.558,9846.83,0.6183,500.0
heavy_rain,0.9312,1500.0,0.0,113.33
heavy_rain,0.6549,3560.17,0.1526,241.46
heavy_rain,0.2554,4425.05,0.2167,198.78
heavy_rain,0.4584,8135.65,0.4915,500.0
heavy_rain,0.3133,3297.05,0.1331,157.37
heavy_rain,0.6178,15000.0,1.0,500.0
extreme_heat,0.7674,5881.46,0.3246,346.91
traffic,0.5457,1500.0,0.0,57.07
extreme_heat,0.9479,1945.28,0.033,120.1
heavy_rain,0.4342,4529.95,0.2244,257.3
extreme_heat,0.7395,2271.21,0.0571,116.35
aqi,0.5038,5291.82,0.2809,169.25
aqi,0.393,3207.14,0.1265,77.92
heavy_rain,0.3208,2212.74,0.0528,91.95
heavy_rain,0.1004,2484.2,0.0729,81.06
heavy_rain,0.1876,6160.77,0.3452,270.9
heavy_rain,0.6908,1500.0,0.0,89.83
extreme_heat,0.7602,6786.14,0.3916,401.7
extreme_heat,0.3705,6886.16,0.399,279.01
heavy_rain,0.3338,3409.42,0.1414,166.01
extreme_heat,0.5003,1993.76,0.0366,73.99
extreme_heat,0.1174,5313.11,0.2825,152.48
heavy_rain,0.1386,3155.24,0.1226,112.4
traffic,0.5073,1886.43,0.0286,60.4
heavy_rain,0.3651,10452.22,0.6631,500.0
aqi,0.7097,2585.81,0.0804,87.8
heavy_rain,0.5613,1927.39,0.0317,107.05
traffic,0.5123,4640.26,0.2326,174.76
aqi,0.6455,3889.66,0.177,131.34
aqi,0.4812,8459.91,0.5155,281.48
traffic,0.6223,3326.71,0.1353,137.55
traffic,0.5005,3344.33,0.1366,119.97
traffic,0.274,4758.15,0.2413,132.32
traffic,0.1792,4445.99,0.2182,113.96
heavy_rain,0.7284,4514.36,0.2233,332.06
extreme_heat,0.3518,4609.97,0.2304,174.25
extreme_heat,0.4989,4369.08,0.2125,191.67
aqi,0.5513,3267.43,0.1309,109.97
extreme_heat,0.6081,6101.8,0.3409,310.1
extreme_heat,0.7486,3361.19,0.1379,181.91
traffic,0.4474,6015.98,0.3345,227.0
heavy_rain,0.3009,8053.65,0.4855,425.8
heavy_rain,0.6442,2867.6,0.1013,183.01
extreme_heat,0.3139,13389.71,0.8807,500.0
extreme_heat,0.7255,2817.75,0.0976,144.87
heavy_rain,0.5249,2827.95,0.0984,166.68
extreme_heat,0.2994,5271.11,0.2793,191.09
extreme_heat,0.4622,5017.97,0.2606,233.85
heavy_rain,0.748,4170.99,0.1979,302.82
extreme_heat,0.15,6057.94,0.3376,190.98
traffic,0.0983,4565.64,0.2271,104.12
heavy_rain,0.3212,11303.54,0.7262,500.0
aqi,0.5395,3918.2,0.1791,125.7
aqi,0.638,2624.78,0.0833,74.97
extreme_heat,0.2818,3053.81,0.1151,103.12
heavy_rain,0.2057,5093.2,0.2662,213.63
extreme_heat,0.3338,5130.59,0.2689,191.95
traffic,0.0583,4461.49,0.2194,89.72
traffic,0.2835,2631.34,0.0838,66.79
traffic,0.7543,7004.61,0.4077,344.31
extreme_heat,0.6818,10598.79,0.674,500.0
traffic,0.7753,4083.1,0.1913,189.85
heavy_rain,0.704,9949.75,0.6259,500.0
traffic,0.2727,6205.11,0.3485,191.47
heavy_rain,0.7744,12201.86,0.7927,500.0
traffic,0.5367,5096.56,0.2664,198.24
aqi,0.3462,4308.31,0.208,122.58
heavy_rain,0.7227,6131.54,0.3431,473.52
traffic,0.5104,3239.61,0.1289,128.37
heavy_rain,0.361,4932.29,0.2542,253.2
traffic,0.5114,7827.19,0.4687,326.95
heavy_rain,0.6898,6061.76,0.3379,443.45
aqi,0.7636,3962.07,0.1824,144.03
heavy_rain,0.8528,4447.99,0.2184,353.05
aqi,0.7969,5877.22,0.3242,251.19
traffic,0.6291,5780.37,0.3171,248.57
extreme_heat,0.4874,5854.89,0.3226,267.38
traffic,0.4475,4768.18,0.2421,161.55
traffic,0.4316,2664.38,0.0863,88.97
aqi,0.4163,2885.41,0.1026,69.62
heavy_rain,0.6192,5067.4,0.2643,347.02
extreme_heat,0.4634,6098.08,0.3406,266.07
heavy_rain,0.4901,5715.68,0.3123,348.33
traffic,0.3502,2870.93,0.1016,76.26
heavy_rain,0.6256,3730.94,0.1653,240.02
extreme_heat,0.756,2236.93,0.0546,114.01
extreme_heat,0.1362,2006.78,0.0375,50.0
extreme_heat,0.7706,4191.19,0.1993,231.74
extreme_heat,0.9244,7935.31,0.4767,500.0
traffic,0.5865,4229.77,0.2022,179.55
traffic,0.7636,10446.97,0.6627,500.0
extreme_heat,0.622,3706.89,0.1635,175.67
extreme_heat,0.4674,4087.17,0.1916,173.62
aqi,0.3113,2451.6,0.0705,53.14
heavy_rain,0.7589,3382.53,0.1394,247.4
heavy_rain,0.1295,2219.49,0.0533,77.94
heavy_rain,0.7384,1858.14,0.0265,116.47
traffic,0.7905,2238.44,0.0547,104.41
extreme_heat,0.4509,4199.15,0.1999,180.53
traffic,0.2686,2784.01,0.0951,82.19
traffic,0.6095,3133.99,0.121,120.34
heavy_rain,0.6272,4939.08,0.2547,336.26
aqi,0.5764,1854.93,0.0263,50.0
traffic,0.1252,4190.26,0.1993,95.77
heavy_rain,0.7709,6148.96,0.3444,490.55
extreme_heat,0.4062,6420.68,0.3645,271.98
heavy_rain,0.6777,5209.73,0.2748,373.9
heavy_rain,0.0857,3920.24,0.1793,134.28
heavy_rain,0.1436,2945.78,0.1071,104.27
aqi,0.208,3861.54,0.1749,86.26
extreme_heat,0.7283,9197.91,0.5702,500.0
extreme_heat,0.7965,4612.54,0.2306,267.44
traffic,0.1289,3814.48,0.1714,79.49
extreme_heat,0.5867,5333.94,0.284,267.37
aqi,0.8216,4125.17,0.1945,157.13
traffic,0.076,4504.79,0.2226,100.9
extreme_heat,0.7722,3556.89,0.1524,188.23
extreme_heat,0.3306,3269.95,0.1311,117.92
aqi,0.8365,6620.99,0.3793,269.82
traffic,0.3979,1517.51,0.0013,50.0
aqi,0.5186,5111.77,0.2675,156.55
heavy_rain,0.4025,3170.43,0.1237,164.05
aqi,0.2643,1552.15,0.0039,50.0
traffic,0.2815,2471.78,0.072,61.96
heavy_rain,0.4394,3952.0,0.1816,213.82
extreme_heat,0.5997,4233.31,0.2025,206.02
traffic,0.7472,5825.51,0.3204,283.87
heavy_rain,0.3964,6027.03,0.3353,337.95
extreme_heat,0.7373,1856.86,0.0264,88.43
traffic,0.8713,4859.8,0.2489,258.97
heavy_rain,0.6028,5792.23,0.3179,396.5
extreme_heat,0.5263,4489.34,0.2214,201.59
extreme_heat,0.6288,5173.07,0.2721,267.46
heavy_rain,0.2045,1531.1,0.0023,58.87
aqi,0.2523,2452.57,0.0706,50.06
traffic,0.4104,7966.68,0.479,298.2
heavy_rain,0.3117,3498.7,0.1481,167.59
aqi,0.6437,12228.83,0.7947,500.0
aqi,0.501,2123.43,0.0462,50.0
heavy_rain,0.9145,8794.54,0.5403,500.0
traffic,0.2044,2965.04,0.1085,73.5
heavy_rain,0.499,6193.27,0.3476,388.52
aqi,0.3821,3471.38,0.146,94.37
traffic,0.7475,4263.47,0.2047,182.16
traffic,0.8992,5419.57,0.2903,293.55
heavy_rain,0.2904,2961.12,0.1082,137.99
aqi,0.1162,6006.23,0.3338,111.72
heavy_rain,0.4177,3522.98,0.1499,178.37
heavy_rain,0.5526,4398.53,0.2147,281.65
heavy_rain,0.2671,1500.0,0.0,52.59
traffic,0.4091,3399.33,0.1407,112.35
heavy_rain,0.3756,7568.66,0.4495,438.02
aqi,0.7492,5694.97,0.3107,221.17
traffic,0.1711,6268.38,0.3532,167.8
heavy_rain,0.31,4132.59,0.195,194.6
heavy_rain,0.6216,9303.42,0.578,500.0
heavy_rain,0.5584,4648.13,0.2332,289.44
traffic,0.7577,2892.71,0.1032,124.63
traffic,0.4325,6170.72,0.346,225.17
heavy_rain,0.4191,6382.4,0.3617,361.72
traffic,0.1793,5512.62,0.2972,146.27
heavy_rain,0.4871,3289.64,0.1326,172.27
traffic,0.3629,4631.96,0.232,150.49
aqi,0.244,8076.08,0.4871,201.55
traffic,0.334,5109.08,0.2673,157.05
traffic,0.2598,1921.99,0.0313,50.0
traffic,0.2737,2938.39,0.1065,77.77
heavy_rain,0.3324,2870.86,0.1015,137.13
heavy_rain,0.3933,2759.59,0.0933,139.34
heavy_rain,0.3122,1500.0,0.0,59.42
extreme_heat,0.7058,10355.66,0.656,500.0
traffic,0.5454,2596.34,0.0812,95.46
traffic,0.1922,2691.96,0.0883,65.95
aqi,0.2609,1524.08,0.0018,50.0
heavy_rain,0.2568,6205.64,0.3486,294.92
traffic,0.9921,3845.15,0.1737,212.44
heavy_rain,0.4322,3376.33,0.139,182.2
heavy_rain,0.512,3466.84,0.1457,202.8
traffic,0.0879,5398.64,0.2888,129.28
aqi,0.3763,3165.26,0.1234,79.36
traffic,0.8513,1500.0,0.0,63.36
heavy_rain,0.3119,2109.55,0.0452,89.22
traffic,0.7644,2055.48,0.0411,89.3
heavy_rain,0.324,4617.73,0.2309,219.18
aqi,0.5075,6406.12,0.3634,201.84
traffic,0.6402,8374.13,0.5092,401.64
heavy_rain,0.3758,1776.77,0.0205,89.7
heavy_rain,0.4403,5486.99,0.2953,308.08
heavy_rain,0.7363,2958.58,0.108,206.1
aqi,0.8431,15000.0,1.0,500.0
extreme_heat,0.8149,8036.73,0.4842,500.0
traffic,0.3966,9423.37,0.5869,365.0
traffic,0.6279,6010.24,0.3341,263.56
extreme_heat,0.3324,4870.46,0.2497,189.37
heavy_rain,0.8371,3290.22,0.1326,256.4
aqi,0.3464,2981.97,0.1098,81.72
heavy_rain,0.6523,2697.14,0.0887,173.05
extreme_heat,0.3757,5479.6,0.2948,218.18
traffic,0.3447,8779.73,0.5392,309.01
traffic,0.1848,3366.39,0.1383,79.55
aqi,0.7024,2804.07,0.0966,97.83
heavy_rain,0.1869,1916.49,0.0309,75.63
extreme_heat,0.6795,4547.56,0.2257,242.15
extreme_heat,0.7502,7440.06,0.44,450.58
extreme_heat,0.6192,7628.63,0.454,415.76
heavy_rain,0.8635,8016.2,0.4827,500.0
heavy_rain,0.821,4952.78,0.2558,389.4
heavy_rain,0.1256,4209.48,0.2007,161.63
heavy_rain,0.5532,7639.8,0.4548,500.0
extreme_heat,0.7809,2309.92,0.06,118.24
traffic,0.4262,3227.87,0.128,100.11
traffic,0.434,9465.64,0.59,378.17
extreme_heat,0.572,2351.24,0.0631,106.08
extreme_heat,0.4632,3955.14,0.1819,161.69
heavy_rain,0.3652,5517.42,0.2976,300.27
extreme_heat,0.1792,4193.74,0.1995,124.26
heavy_rain,0.913,7148.86,0.4184,500.0
heavy_rain,0.4657,8628.61,0.528,500.0
extreme_heat,0.5854,5114.49,0.2677,259.89
extreme_heat,0.3411,8062.92,0.4861,335.02
heavy_rain,0.6468,2529.21,0.0762,161.12
extreme_heat,0.494,3719.08,0.1644,153.01
extreme_heat,0.7448,13394.45,0.8811,500.0
traffic,0.5819,10630.32,0.6763,500.0
traffic,0.0934,2125.01,0.0463,50.0
traffic,0.2657,3998.28,0.1851,123.06
heavy_rain,0.5644,4307.17,0.2079,272.53
traffic,0.4314,4955.55,0.256,170.85
extreme_heat,0.7094,7608.5,0.4525,453.63
extreme_heat,0.7191,10092.82,0.6365,500.0
traffic,0.5688,4099.86,0.1926,156.13
extreme_heat,0.3937,7051.48,0.4112,297.83
extreme_heat,0.1661,5564.14,0.301,170.65
traffic,0.2773,3981.58,0.1838,112.34
aqi,0.3928,1721.45,0.0164,50.0
aqi,0.5088,6695.81,0.3849,214.3
extreme_heat,0.525,5445.78,0.2923,250.9
extreme_heat,0.2761,4889.25,0.2511,178.62
traffic,0.491,2463.57,0.0714,69.56
heavy_rain,0.1902,10716.81,0.6827,500.0
traffic,0.2319,4342.63,0.2106,118.19
extreme_heat,0.4661,2274.04,0.0573,90.35
heavy_rain,0.3471,2098.21,0.0443,99.4
heavy_rain,0.1922,5646.19,0.3071,241.01
traffic,0.828,5730.88,0.3134,295.94
heavy_rain,0.6391,3192.29,0.1254,203.08
heavy_rain,0.3605,5071.1,0.2645,256.22
heavy_rain,0.577,5618.41,0.3051,371.71
heavy_rain,0.6078,4315.47,0.2086,276.43
heavy_rain,0.5276,2833.67,0.0988,159.33
traffic,0.3914,6507.29,0.3709,235.01
heavy_rain,0.5019,6116.93,0.342,390.54
traffic,0.7837,5344.59,0.2848,266.98
aqi,0.185,2652.17,0.0853,55.3
extreme_heat,0.5475,2068.3,0.0421,88.79
heavy_rain,0.6505,4180.82,0.1986,287.09
traffic,0.3888,6404.69,0.3633,225.99
heavy_rain,0.4461,6769.53,0.3903,417.97
extreme_heat,0.6784,5389.41,0.2881,286.03
aqi,0.8144,3212.4,0.1268,123.1
aqi,0.51,2691.61,0.0883,69.37
traffic,0.2083,3990.08,0.1845,106.29
heavy_rain,0.2526,4009.04,0.1859,167.27
traffic,0.2985,6999.88,0.4074,218.21
traffic,0.311,3165.74,0.1234,84.44
extreme_heat,0.7243,3299.99,0.1333,173.64
traffic,0.696,11242.94,0.7217,500.0
heavy_rain,0.3291,8739.52,0.5363,500.0
heavy_rain,0.689,2587.92,0.0806,170.26
extreme_heat,0.6236,8386.48,0.5101,476.93
heavy_rain,0.3827,2296.31,0.059,112.09
heavy_rain,0.3994,3238.84,0.1288,168.8
traffic,0.3925,3428.5,0.1429,110.0
aqi,0.9575,3870.75,0.1756,169.15
extreme_heat,0.377,5485.58,0.2952,215.58
traffic,0.4051,4243.89,0.2033,128.81
aqi,0.5049,5471.8,0.2942,170.29
heavy_rain,0.6519,3291.44,0.1327,206.6
extreme_heat,0.0838,4851.83,0.2483,133.92
extreme_heat,0.3863,4185.93,0.199,160.41
heavy_rain,0.6637,2009.89,0.0378,121.91
traffic,0.3765,5123.05,0.2684,183.26
extreme_heat,0.2216,4221.85,0.2016,134.05
extreme_heat,0.7044,2815.92,0.0975,141.22
heavy_rain,0.8238,3253.8,0.1299,248.38
heavy_rain,0.6936,3293.94,0.1329,227.69
aqi,0.4625,3560.09,0.1526,104.05
heavy_rain,0.6323,9696.1,0.6071,500.0
heavy_rain,0.7233,11442.93,0.7365,500.0
heavy_rain,0.185,1500.0,0.0,53.33
extreme_heat,0.4713,5136.29,0.2694,221.83
extreme_heat,0.4386,6486.48,0.3694,288.75
extreme_heat,0.6129,3611.8,0.1564,164.31
heavy_rain,0.877,6399.95,0.363,500.0
heavy_rain,0.4302,9201.15,0.5705,500.0
traffic,0.7299,2026.53,0.039,82.31
traffic,0.5225,4302.2,0.2076,161.17
traffic,0.5835,10704.01,0.6818,500.0
traffic,0.6003,2167.04,0.0494,87.15
traffic,0.208,3798.58,0.1703,91.8
