zone,work_type,disruption_freq,flood_risk,heat_risk,weekly_income,income_norm,tenure_weeks,claim_ratio,premium_score,weekly_premium
Gurugram Sector 29,0,0.28,0.5,0.68,5071.92,0.2646,49,0.2794,0.3289,48.73
Saket,0,0.25,0.35,0.65,2219.97,0.0533,44,0.384,0.2008,41.05
Vasant Kunj,1,0.22,0.3,0.65,3094.39,0.1181,5,0.2016,0.1408,37.45
Saket,0,0.25,0.35,0.65,10581.97,0.6727,100,0.4228,0.5251,60.5
Dwarka,0,0.38,0.6,0.7,1981.55,0.0357,86,0.0961,0.2591,44.54
Karol Bagh,0,0.33,0.42,0.72,2266.7,0.0568,73,0.2408,0.2252,42.51
Saket,0,0.25,0.35,0.65,6446.39,0.3664,24,0.2563,0.3459,49.75
Connaught Place,1,0.28,0.3,0.7,3243.54,0.1292,97,0.4372,0.1706,39.23
Janakpuri,0,0.3,0.4,0.68,2228.59,0.054,19,0.0984,0.2096,41.58
Mayur Vihar,0,0.35,0.55,0.7,8638.51,0.5288,26,0.046,0.4463,55.78
Rohini,1,0.35,0.5,0.72,5067.12,0.2642,8,0.2563,0.2625,44.75
Janakpuri,1,0.3,0.4,0.68,3324.58,0.1352,30,0.044,0.1809,39.85
Lajpat Nagar,1,0.32,0.45,0.68,2269.04,0.057,35,0.3213,0.1844,40.06
Gurugram Sector 29,1,0.28,0.5,0.68,11200.38,0.7185,83,0.1393,0.4187,54.12
Janakpuri,1,0.3,0.4,0.68,3974.98,0.1833,34,0.0737,0.2043,41.26
Dwarka,0,0.38,0.6,0.7,8092.27,0.4883,100,0.4525,0.4653,56.92
Rohini,1,0.35,0.5,0.72,6290.63,0.3549,32,0.1806,0.2695,45.17
Shahdara,1,0.4,0.65,0.72,3101.21,0.1186,55,0.2941,0.2061,41.36
Gurugram Sector 29,0,0.28,0.5,0.68,3113.58,0.1195,62,0.0337,0.1993,40.96
Vasant Kunj,0,0.22,0.3,0.65,8292.92,0.5032,87,0.5728,0.4609,56.65
Janakpuri,0,0.3,0.4,0.68,8360.38,0.5082,79,0.1339,0.4018,53.11
Lajpat Nagar,1,0.32,0.45,0.68,1574.26,0.0055,91,0.1058,0.1172,36.03
Mayur Vihar,1,0.35,0.55,0.7,5296.97,0.2813,98,0.1756,0.2584,44.51
Noida Sector 18,1,0.3,0.45,0.7,3787.24,0.1694,13,0.4879,0.2108,41.65
Gurugram Sector 29,0,0.28,0.5,0.68,2400.27,0.0667,10,0.1703,0.2606,44.64
Lajpat Nagar,0,0.32,0.45,0.68,4586.5,0.2286,47,0.3688,0.3112,47.67
Dwarka,0,0.38,0.6,0.7,2049.19,0.0407,16,0.0225,0.2325,42.95
Mayur Vihar,0,0.35,0.55,0.7,3186.8,0.1249,52,0.0179,0.2362,43.17
Mayur Vihar,1,0.35,0.55,0.7,2699.34,0.0888,62,0.35,0.1753,39.52
Janakpuri,1,0.3,0.4,0.68,3134.12,0.121,29,0.1101,0.1582,38.49
Mayur Vihar,1,0.35,0.55,0.7,3882.6,0.1765,11,0.1754,0.2092,41.55
Karol Bagh,1,0.33,0.42,0.72,2421.68,0.0683,101,0.5608,0.1805,39.83
Saket,1,0.25,0.35,0.65,8836.0,0.5434,39,0.1486,0.2922,46.53
Karol Bagh,0,0.33,0.42,0.72,5149.43,0.2703,88,0.3407,0.337,49.22
Dwarka,0,0.38,0.6,0.7,9870.26,0.62,65,0.1098,0.5153,59.92
Rohini,0,0.35,0.5,0.72,3714.35,0.164,69,0.2086,0.253,44.18
Gurugram Sector 29,0,0.28,0.5,0.68,3058.27,0.1154,82,0.0319,0.228,42.68
Noida Sector 18,0,0.3,0.45,0.7,9693.47,0.6069,28,0.3949,0.5207,60.24
Lajpat Nagar,0,0.32,0.45,0.68,3013.84,0.1121,23,0.3835,0.2839,46.03
Mayur Vihar,1,0.35,0.55,0.7,3680.68,0.1615,104,0.4015,0.195,40.7
Rohini,0,0.35,0.5,0.72,5767.67,0.3161,70,0.0366,0.3281,48.69
Mayur Vihar,1,0.35,0.55,0.7,2167.08,0.0494,31,0.3081,0.1617,38.7
Connaught Place,1,0.28,0.3,0.7,5742.49,0.3143,68,0.3618,0.2372,43.23
Mayur Vihar,1,0.35,0.55,0.7,5386.62,0.2879,41,0.0741,0.275,45.5
Mayur Vihar,1,0.35,0.55,0.7,7590.58,0.4512,90,0.2672,0.3189,48.14
Mayur Vihar,0,0.35,0.55,0.7,6279.35,0.354,53,0.2444,0.3795,51.77
Noida Sector 18,1,0.3,0.45,0.7,7707.81,0.4598,33,0.0037,0.2822,45.93
Janakpuri,0,0.3,0.4,0.68,3807.73,0.1709,72,0.0836,0.2803,45.82
Gurugram Sector 29,1,0.28,0.5,0.68,2614.07,0.0825,79,0.161,0.1323,36.94
Dwarka,0,0.38,0.6,0.7,11556.38,0.7449,39,0.0634,0.5687,63.12
Mayur Vihar,0,0.35,0.55,0.7,1875.54,0.0278,79,0.0195,0.1861,40.16
Shahdara,1,0.4,0.65,0.72,1971.88,0.035,25,0.1911,0.1617,38.7
Janakpuri,1,0.3,0.4,0.68,5337.77,0.2843,25,0.0275,0.2407,43.44
Shahdara,0,0.4,0.65,0.72,9067.87,0.5606,86,0.0914,0.4669,57.01
Shahdara,1,0.4,0.65,0.72,4423.89,0.2166,65,0.5464,0.2754,45.53
Connaught Place,0,0.28,0.3,0.7,6631.93,0.3801,4,0.0,0.3245,48.47
Lajpat Nagar,1,0.32,0.45,0.68,1500.0,0.0,71,0.255,0.132,36.92
Rohini,0,0.35,0.5,0.72,3134.51,0.1211,32,0.0914,0.216,41.96
Lajpat Nagar,0,0.32,0.45,0.68,1576.6,0.0057,29,0.0903,0.174,39.44
Janakpuri,0,0.3,0.4,0.68,5944.4,0.3292,45,0.2302,0.3264,48.58
Gurugram Sector 29,0,0.28,0.5,0.68,1856.38,0.0264,47,0.0985,0.2042,41.25
Noida Sector 18,0,0.3,0.45,0.7,2124.07,0.0462,93,0.1528,0.2112,41.67
Janakpuri,0,0.3,0.4,0.68,5203.11,0.2743,46,0.4036,0.3704,51.22
Karol Bagh,0,0.33,0.42,0.72,6842.53,0.3957,31,0.5183,0.4169,54.01
Shahdara,0,0.4,0.65,0.72,3716.42,0.1642,81,0.236,0.331,48.86
Connaught Place,0,0.28,0.3,0.7,5351.25,0.2853,57,0.2318,0.2946,46.68
Mayur Vihar,0,0.35,0.55,0.7,5265.3,0.2789,1,0.0,0.3612,50.67
Shahdara,1,0.4,0.65,0.72,3612.97,0.1565,66,0.1056,0.2269,42.61
Noida Sector 18,1,0.3,0.45,0.7,2327.73,0.0613,53,0.0856,0.1497,37.98
Shahdara,0,0.4,0.65,0.72,5337.14,0.2842,60,0.0396,0.3704,51.22
Shahdara,1,0.4,0.65,0.72,5467.34,0.2939,20,0.1183,0.2695,45.17
Lajpat Nagar,0,0.32,0.45,0.68,6291.86,0.355,50,0.0451,0.3375,49.25
Shahdara,0,0.4,0.65,0.72,4703.36,0.2373,68,0.1578,0.3587,50.52
Mayur Vihar,1,0.35,0.55,0.7,2243.4,0.0551,71,0.1834,0.186,40.16
Dwarka,1,0.38,0.6,0.7,5682.63,0.3098,71,0.0714,0.2812,45.87
Noida Sector 18,1,0.3,0.45,0.7,4021.09,0.1867,104,0.1139,0.1992,40.95
Connaught Place,0,0.28,0.3,0.7,3160.96,0.123,53,0.0847,0.2114,41.68
Saket,1,0.25,0.35,0.65,3472.68,0.1461,45,0.2254,0.1874,40.24
Janakpuri,0,0.3,0.4,0.68,2849.42,0.1,57,0.2963,0.2117,41.7
Vasant Kunj,0,0.22,0.3,0.65,6275.58,0.3537,35,0.0835,0.3067,47.4
Rohini,0,0.35,0.5,0.72,1980.18,0.0356,33,0.1374,0.1543,38.26
Dwarka,1,0.38,0.6,0.7,2448.56,0.0703,72,0.2197,0.2047,41.28
Saket,0,0.25,0.35,0.65,3413.91,0.1418,33,0.0299,0.1932,40.59
Vasant Kunj,1,0.22,0.3,0.65,9017.08,0.5568,78,0.2516,0.3075,47.45
Karol Bagh,1,0.33,0.42,0.72,6816.76,0.3938,78,0.0596,0.2741,45.44
Connaught Place,1,0.28,0.3,0.7,1771.5,0.0201,100,0.0294,0.121,36.26
Rohini,1,0.35,0.5,0.72,7908.34,0.4747,14,0.1434,0.3604,50.62
Mayur Vihar,1,0.35,0.55,0.7,7900.73,0.4741,38,0.3514,0.3215,48.29
Connaught Place,0,0.28,0.3,0.7,2237.23,0.0546,81,0.1531,0.1616,38.7
Karol Bagh,0,0.33,0.42,0.72,1500.0,0.0,45,0.1122,0.1808,39.85
Dwarka,0,0.38,0.6,0.7,3881.16,0.1764,69,0.3951,0.3142,47.85
Vasant Kunj,0,0.22,0.3,0.65,7053.03,0.4113,77,0.0838,0.3523,50.14
Dwarka,0,0.38,0.6,0.7,8916.25,0.5494,92,0.0942,0.4817,57.9
Janakpuri,0,0.3,0.4,0.68,2603.43,0.0817,24,0.0533,0.2179,42.07
Noida Sector 18,0,0.3,0.45,0.7,9662.32,0.6046,28,0.2532,0.4852,58.11
Lajpat Nagar,0,0.32,0.45,0.68,1500.0,0.0,49,0.3856,0.215,41.9
Shahdara,0,0.4,0.65,0.72,3347.52,0.1369,53,0.5328,0.3161,47.96
Shahdara,1,0.4,0.65,0.72,3266.24,0.1308,95,0.1384,0.2486,43.92
Mayur Vihar,0,0.35,0.55,0.7,7159.31,0.4192,5,0.0625,0.3694,51.16
Vasant Kunj,1,0.22,0.3,0.65,7701.35,0.4594,26,0.2018,0.2679,45.07
Noida Sector 18,1,0.3,0.45,0.7,6484.12,0.3692,95,0.0803,0.245,43.7
Saket,0,0.25,0.35,0.65,2048.22,0.0406,64,0.4156,0.2129,41.77
Saket,1,0.25,0.35,0.65,6193.83,0.3477,71,0.1121,0.2481,43.89
Janakpuri,1,0.3,0.4,0.68,5190.17,0.2733,26,0.1545,0.2113,41.68
Mayur Vihar,1,0.35,0.55,0.7,1744.78,0.0181,65,0.3042,0.1852,40.11
Dwarka,0,0.38,0.6,0.7,1500.0,0.0,39,0.1478,0.2018,41.11
Rohini,0,0.35,0.5,0.72,6761.46,0.3897,77,0.3794,0.4216,54.29
Saket,0,0.25,0.35,0.65,3677.36,0.1613,10,0.1534,0.2434,43.61
Connaught Place,1,0.28,0.3,0.7,2116.27,0.0456,30,0.3808,0.144,37.64
Lajpat Nagar,1,0.32,0.45,0.68,3626.1,0.1575,68,0.2364,0.2146,41.87
Lajpat Nagar,1,0.32,0.45,0.68,4827.19,0.2465,63,0.2963,0.2366,43.2
Mayur Vihar,1,0.35,0.55,0.7,3860.59,0.1749,88,0.553,0.2528,44.17
Gurugram Sector 29,1,0.28,0.5,0.68,1851.97,0.0261,84,0.034,0.132,36.92
Gurugram Sector 29,1,0.28,0.5,0.68,10329.7,0.6541,2,0.0,0.341,49.46
Janakpuri,0,0.3,0.4,0.68,6648.25,0.3814,10,0.1392,0.3561,50.37
Gurugram Sector 29,1,0.28,0.5,0.68,3402.65,0.1409,37,0.2388,0.1814,39.88
Lajpat Nagar,0,0.32,0.45,0.68,3471.88,0.1461,100,0.2504,0.2914,46.49
Karol Bagh,0,0.33,0.42,0.72,4816.22,0.2456,50,0.025,0.263,44.78
Shahdara,0,0.4,0.65,0.72,2287.44,0.0583,93,0.0657,0.2737,45.42
Vasant Kunj,1,0.22,0.3,0.65,4728.38,0.2391,7,0.2199,0.1946,40.68
Lajpat Nagar,0,0.32,0.45,0.68,2068.61,0.0421,101,0.2965,0.2243,42.46
Janakpuri,0,0.3,0.4,0.68,3884.44,0.1766,7,0.2848,0.2432,43.59
Gurugram Sector 29,0,0.28,0.5,0.68,2243.32,0.0551,85,0.1072,0.1971,40.82
Janakpuri,0,0.3,0.4,0.68,2300.68,0.0593,92,0.0328,0.1736,39.42
Janakpuri,0,0.3,0.4,0.68,9162.38,0.5676,31,0.2009,0.4999,59.0
Lajpat Nagar,1,0.32,0.45,0.68,4144.81,0.1959,32,0.0839,0.1935,40.61
Saket,1,0.25,0.35,0.65,4463.57,0.2195,61,0.2847,0.2222,42.33
Rohini,0,0.35,0.5,0.72,1500.0,0.0,76,0.03,0.2073,41.44
Dwarka,0,0.38,0.6,0.7,2985.43,0.11,13,0.4648,0.3253,48.52
Gurugram Sector 29,0,0.28,0.5,0.68,5067.52,0.2643,25,0.0443,0.2897,46.38
Noida Sector 18,0,0.3,0.45,0.7,4434.05,0.2173,79,0.1214,0.3194,48.16
Noida Sector 18,0,0.3,0.45,0.7,1500.0,0.0,84,0.024,0.2051,41.31
Saket,1,0.25,0.35,0.65,4462.97,0.2195,16,0.3093,0.2123,41.74
Vasant Kunj,1,0.22,0.3,0.65,4833.27,0.2469,93,0.199,0.1917,40.5
Lajpat Nagar,0,0.32,0.45,0.68,7645.56,0.4552,91,0.1051,0.3864,52.18
Saket,0,0.25,0.35,0.65,2899.76,0.1037,91,0.1596,0.2122,41.73
Lajpat Nagar,0,0.32,0.45,0.68,1500.0,0.0,26,0.1487,0.1817,39.9
Saket,0,0.25,0.35,0.65,2444.55,0.07,70,0.1144,0.1851,40.1
Vasant Kunj,1,0.22,0.3,0.65,2324.98,0.0611,17,0.0829,0.1,35.0
Saket,1,0.25,0.35,0.65,5815.92,0.3197,21,0.3369,0.2469,43.81
Karol Bagh,1,0.33,0.42,0.72,1500.0,0.0,8,0.0216,0.1425,37.55
Janakpuri,1,0.3,0.4,0.68,3215.77,0.1271,52,0.1659,0.1878,40.27
Gurugram Sector 29,1,0.28,0.5,0.68,8208.27,0.4969,74,0.042,0.307,47.42
Janakpuri,1,0.3,0.4,0.68,4038.41,0.188,21,0.6361,0.2321,42.93
Dwarka,0,0.38,0.6,0.7,6299.08,0.3555,20,0.1668,0.3661,50.96
Mayur Vihar,0,0.35,0.55,0.7,1770.65,0.02,29,0.2571,0.2099,41.6
Vasant Kunj,0,0.22,0.3,0.65,1806.24,0.0227,21,0.033,0.1293,36.76
Dwarka,0,0.38,0.6,0.7,8255.39,0.5004,87,0.1612,0.48,57.8
Mayur Vihar,0,0.35,0.55,0.7,4232.75,0.2024,18,0.0635,0.2809,45.86
Dwarka,0,0.38,0.6,0.7,4237.11,0.2027,29,0.2601,0.3077,47.46
Gurugram Sector 29,1,0.28,0.5,0.68,2300.6,0.0593,32,0.0251,0.1592,38.55
Mayur Vihar,1,0.35,0.55,0.7,4231.83,0.2024,22,0.5769,0.2534,44.21
Janakpuri,0,0.3,0.4,0.68,2268.86,0.057,98,0.1591,0.1816,39.9
Gurugram Sector 29,0,0.28,0.5,0.68,7284.0,0.4284,22,0.0244,0.3979,52.87
Dwarka,1,0.38,0.6,0.7,15000.0,1.0,51,0.1212,0.5417,61.5
Connaught Place,0,0.28,0.3,0.7,5125.43,0.2686,59,0.1415,0.2803,45.82
Lajpat Nagar,0,0.32,0.45,0.68,2929.32,0.1059,28,0.2388,0.2353,43.12
Janakpuri,0,0.3,0.4,0.68,1500.0,0.0,50,0.3069,0.1923,40.54
Karol Bagh,0,0.33,0.42,0.72,1733.27,0.0173,18,0.3405,0.2185,42.11
Lajpat Nagar,0,0.32,0.45,0.68,8755.44,0.5374,51,0.1703,0.4554,56.33
Janakpuri,1,0.3,0.4,0.68,2405.24,0.0671,2,0.0,0.1425,37.55
Gurugram Sector 29,1,0.28,0.5,0.68,3342.86,0.1365,46,0.0737,0.1714,39.28
Rohini,1,0.35,0.5,0.72,5584.01,0.3025,38,0.2785,0.2619,44.71
Gurugram Sector 29,0,0.28,0.5,0.68,8443.44,0.5143,37,0.1844,0.4372,55.23
Dwarka,1,0.38,0.6,0.7,3641.7,0.1586,12,0.1775,0.2091,41.55
Mayur Vihar,1,0.35,0.55,0.7,3286.79,0.1324,104,0.1085,0.1822,39.93
Shahdara,0,0.4,0.65,0.72,4170.58,0.1978,3,0.0,0.3106,47.64
Shahdara,1,0.4,0.65,0.72,2940.05,0.1067,16,0.3292,0.2397,43.38
Rohini,0,0.35,0.5,0.72,3020.24,0.1126,11,0.1488,0.2107,41.64
Janakpuri,0,0.3,0.4,0.68,4944.05,0.2551,102,0.4082,0.3145,47.87
Karol Bagh,0,0.33,0.42,0.72,4414.48,0.2159,34,0.1675,0.2951,46.71
Connaught Place,0,0.28,0.3,0.7,11681.98,0.7542,45,0.2927,0.5638,62.83
Mayur Vihar,0,0.35,0.55,0.7,5011.17,0.2601,79,0.0723,0.3608,50.65
Janakpuri,0,0.3,0.4,0.68,7155.04,0.4189,6,0.2005,0.3783,51.7
Gurugram Sector 29,0,0.28,0.5,0.68,2355.14,0.0633,7,0.803,0.3164,47.99
Noida Sector 18,1,0.3,0.45,0.7,5232.16,0.2765,19,0.0856,0.2388,43.33
Janakpuri,0,0.3,0.4,0.68,2803.18,0.0965,71,0.0585,0.2244,42.46
Dwarka,0,0.38,0.6,0.7,4903.61,0.2521,102,0.2123,0.327,48.62
Noida Sector 18,0,0.3,0.45,0.7,5677.45,0.3094,65,0.177,0.344,49.64
Lajpat Nagar,1,0.32,0.45,0.68,4125.47,0.1945,91,0.0646,0.2154,41.92
Noida Sector 18,0,0.3,0.45,0.7,13408.75,0.8821,92,0.1582,0.6056,65.34
Lajpat Nagar,1,0.32,0.45,0.68,8217.24,0.4976,29,0.0722,0.277,45.62
Noida Sector 18,0,0.3,0.45,0.7,7249.03,0.4259,20,0.0999,0.3884,52.3
Noida Sector 18,0,0.3,0.45,0.7,5896.67,0.3257,17,0.0543,0.3265,48.59
Lajpat Nagar,0,0.32,0.45,0.68,9717.47,0.6087,83,0.3276,0.5295,60.77
Mayur Vihar,0,0.35,0.55,0.7,1961.6,0.0342,70,0.1548,0.2093,41.56
Saket,1,0.25,0.35,0.65,7983.57,0.4803,90,0.0359,0.2735,45.41
Mayur Vihar,1,0.35,0.55,0.7,2451.31,0.0705,53,0.4189,0.1809,39.85
Connaught Place,0,0.28,0.3,0.7,3034.59,0.1137,102,0.1653,0.1968,40.81
Rohini,1,0.35,0.5,0.72,5327.81,0.2835,93,0.0605,0.2866,46.2
Janakpuri,0,0.3,0.4,0.68,7454.78,0.4411,85,0.3232,0.3751,51.51
Rohini,0,0.35,0.5,0.72,2260.21,0.0563,84,0.5993,0.2424,43.54
Dwarka,0,0.38,0.6,0.7,3114.2,0.1196,13,0.1817,0.2779,45.67
Noida Sector 18,0,0.3,0.45,0.7,4224.96,0.2018,78,0.3091,0.3338,49.03
Lajpat Nagar,1,0.32,0.45,0.68,3665.86,0.1604,99,0.2761,0.2161,41.97
Gurugram Sector 29,0,0.28,0.5,0.68,6167.3,0.3457,31,0.2332,0.3922,52.53
Lajpat Nagar,0,0.32,0.45,0.68,15000.0,1.0,85,0.237,0.6815,69.89
Rohini,0,0.35,0.5,0.72,4962.48,0.2565,37,0.0808,0.2895,46.37
Noida Sector 18,0,0.3,0.45,0.7,2786.11,0.0953,23,0.6354,0.2647,44.88
Mayur Vihar,0,0.35,0.55,0.7,2104.32,0.0448,76,0.0427,0.2117,41.7
Rohini,1,0.35,0.5,0.72,3419.92,0.1422,18,0.0657,0.1942,40.65
Dwarka,0,0.38,0.6,0.7,2514.62,0.0752,51,0.2615,0.2605,44.63
Vasant Kunj,0,0.22,0.3,0.65,5083.6,0.2655,98,0.1449,0.2805,45.83
Vasant Kunj,0,0.22,0.3,0.65,5044.28,0.2625,17,0.5107,0.2896,46.38
Shahdara,0,0.4,0.65,0.72,3192.04,0.1253,17,0.0648,0.2641,44.85
Janakpuri,0,0.3,0.4,0.68,10856.05,0.693,99,0.1134,0.4878,58.27
Saket,1,0.25,0.35,0.65,2785.76,0.0952,81,0.0663,0.145,37.7
Noida Sector 18,1,0.3,0.45,0.7,3790.62,0.1697,49,0.3638,0.2144,41.86
Noida Sector 18,0,0.3,0.45,0.7,5539.07,0.2992,43,0.0721,0.3411,49.47
Dwarka,1,0.38,0.6,0.7,6285.67,0.3545,101,0.3777,0.3352,49.11
Connaught Place,0,0.28,0.3,0.7,7621.96,0.4535,76,0.282,0.3668,51.01
Lajpat Nagar,1,0.32,0.45,0.68,4985.3,0.2582,95,0.1465,0.2323,42.94
Vasant Kunj,1,0.22,0.3,0.65,6805.3,0.393,10,0.1094,0.2436,43.62
Janakpuri,1,0.3,0.4,0.68,2885.48,0.1026,56,0.2046,0.1463,37.78
Janakpuri,1,0.3,0.4,0.68,6368.0,0.3606,76,0.2726,0.2632,44.79
Janakpuri,0,0.3,0.4,0.68,6325.63,0.3575,4,0.0,0.3641,50.84
Mayur Vihar,0,0.35,0.55,0.7,8573.6,0.524,54,0.2992,0.4667,57.0
Connaught Place,0,0.28,0.3,0.7,1747.22,0.0183,6,0.0908,0.1383,37.3
Connaught Place,0,0.28,0.3,0.7,2556.54,0.0783,94,0.4189,0.216,41.96
Dwarka,1,0.38,0.6,0.7,6072.77,0.3387,71,0.1303,0.3012,47.07
Janakpuri,0,0.3,0.4,0.68,1500.0,0.0,20,0.3097,0.1789,39.73
Gurugram Sector 29,0,0.28,0.5,0.68,5146.14,0.2701,55,0.1573,0.3183,48.1
Janakpuri,0,0.3,0.4,0.68,6835.62,0.3952,12,0.2893,0.3349,49.09
Janakpuri,0,0.3,0.4,0.68,3016.38,0.1123,84,0.4638,0.268,45.08
Vasant Kunj,1,0.22,0.3,0.65,3245.11,0.1293,21,0.2576,0.1622,38.73
Lajpat Nagar,1,0.32,0.45,0.68,2351.79,0.0631,64,0.5094,0.1993,40.96
Shahdara,0,0.4,0.65,0.72,3100.21,0.1185,9,0.0428,0.2397,43.38
Shahdara,0,0.4,0.65,0.72,3145.46,0.1219,17,0.157,0.2841,46.05
Janakpuri,0,0.3,0.4,0.68,2860.01,0.1007,102,0.1002,0.2337,43.02
Mayur Vihar,0,0.35,0.55,0.7,2782.66,0.095,41,0.349,0.2588,44.53
Dwarka,1,0.38,0.6,0.7,3513.96,0.1492,13,0.2341,0.225,42.5
